date,open,high,low,close,volume,rsi,MACD,MACD SIGNAL,sto_k,sto_d
2020-03-24 04:01:00,57.4664640298,58.0410793469,57.2149156936,57.4245393071,1120.0,,0.0,0.0,,
2020-03-24 04:30:00,57.3382237015,57.7081477254,57.1409308888,57.5922381979,1000.0,,-0.013377689294578943,-0.0026755378589157887,,
2020-03-24 05:01:00,57.7032154051,57.8067941318,57.6834861238,57.6834861238,2300.0,,-0.030985369420022835,-0.008337504171137199,,
2020-03-24 05:31:00,57.7081477254,58.1273949525,57.6588245222,58.1273949525,2400.0,,-0.07983898127307043,-0.022637799591523844,,
2020-03-24 06:00:00,58.1717858353,58.6674840273,58.1717858353,58.3493493668,1604.0,,-0.13491052239812973,-0.04509234415284502,,
2020-03-24 06:30:00,58.3246877652,58.6946117891,58.2013797572,58.3493493668,4024.0,,-0.17652029937761426,-0.07137793519779886,,
2020-03-24 07:00:00,58.3098908042,58.4085372106,57.2149156936,57.685952284,23840.0,,-0.1541883596438467,-0.08794002008700844,,
2020-03-24 07:30:00,57.6193659597,57.826523413,57.0916076856,57.5355165143,11972.0,,-0.12293411913967844,-0.09493883989754244,,
2020-03-24 08:00:00,57.5823735573,58.2457706401,57.0250213613,57.345622182,11420.0,,-0.08189795412656764,-0.09233066274334749,,
2020-03-24 08:30:00,57.2790358577,58.0904025501,57.190254092,57.9153051788,25524.0,,-0.09425860003906195,-0.09271625020249039,,
2020-03-24 09:00:00,57.8610496553,58.5565068202,57.7451401278,58.3764771285,74472.0,,-0.13965734025951804,-0.10210446821389592,,
2020-03-24 09:30:00,58.3148231246,58.662551707,57.7821325302,58.3049584839,867664.0,,-0.1679294261591977,-0.11526945980295629,,
2020-03-24 10:00:00,58.3024923238,60.0362029157,58.1298611126,59.8292674167,1210192.0,,-0.3097634889403267,-0.15416826563043037,,
2020-03-24 10:30:00,59.8315116225,59.8512162422,59.3851859569,59.4714522392,652308.0,,-0.388813313268102,-0.20109727515796472,,
