date,open,high,low,close,volume
2020-05-01 07:01:00,106.754581231,106.754581231,106.754581231,106.754581231,445
2020-05-01 07:32:00,106.184809085,106.184809085,106.184809085,106.184809085,523
2020-05-01 07:33:00,105.796328076,105.865391366,105.796328076,105.865391366,369
2020-05-01 08:01:00,106.271224527,107.048100216,106.184895414,106.61645465,2326
2020-05-01 08:04:00,105.925994404,105.925994404,105.925994404,105.925994404,418
2020-05-01 08:18:00,106.184809085,106.184809085,106.184809085,106.184809085,104
2020-05-01 08:20:00,106.184809085,106.184809085,106.184809085,106.184809085,179
2020-05-01 08:21:00,106.227973641,106.227973641,106.227973641,106.227973641,105
2020-05-01 08:31:00,106.530039208,106.530039208,106.530039208,106.530039208,366
2020-05-01 08:37:00,106.529952879,106.529952879,106.529952879,106.529952879,742
2020-05-01 08:43:00,106.823471863,106.823471863,106.823471863,106.823471863,366
2020-05-01 09:03:00,106.202074907,106.202074907,106.184809085,106.184809085,687
2020-05-01 09:09:00,106.568973638,106.568973638,106.568973638,106.568973638,104
2020-05-01 09:17:00,106.443796424,106.443796424,106.443796424,106.443796424,273
2020-05-01 09:20:00,106.61645465,106.61645465,106.61645465,106.61645465,629
2020-05-01 09:22:00,106.599188828,106.599188828,106.599188828,106.599188828,210
2020-05-01 09:23:00,106.573290094,106.573290094,106.573290094,106.573290094,328
2020-05-01 09:31:00,106.3488344,106.3488344,105.839492632,106.141644528,217183
2020-05-01 09:32:00,106.063948326,106.184809085,105.943087568,105.943087568,15752
2020-05-01 09:33:00,106.046682504,106.295828324,106.012237188,106.245239464,20111
2020-05-01 09:34:00,106.292720476,106.292720476,106.055315415,106.111429339,12011
2020-05-01 09:35:00,106.124378706,106.227973641,106.085530605,106.141644528,31569
2020-05-01 09:36:00,106.145960984,106.158910351,105.8912901,106.007834403,42415
2020-05-01 09:37:00,105.977619213,106.124378706,105.943087568,106.063344023,24888
2020-05-01 09:38:00,106.085530605,106.085530605,105.951720479,105.962079973,21029
2020-05-01 09:39:00,105.951720479,105.951720479,105.649654913,105.874024278,20153
