date,open,high,low,close,volume,rsi,ema,MACD,MACD SIGNAL,sto_k,sto_d
2020-03-02 04:01:00,141.452,147.0,139.998,142.692,2265.0,,142.692,0.0,0.0,,
2020-03-02 04:31:00,142.62,142.898,139.4,140.002,6805.0,,142.63873267326733,0.21458689458688696,0.042917378917377395,,
2020-03-02 05:03:00,140.16,140.2,138.4,140.0,2905.0,,142.58648054112342,0.38042463941042115,0.11041883101598615,,
2020-03-02 05:30:00,140.2,140.81,138.824,138.824,3630.0,,142.51197597595265,0.5998311387517958,0.2083012925631481,,
2020-03-02 06:02:00,138.624,138.65,135.232,135.54,7710.0,,142.37391704573577,1.0268666452015793,0.37201436309083435,,
2020-03-02 06:30:00,135.56,135.8,133.646,133.798,5185.0,,142.20409690621622,1.4886994021613589,0.5953513709049393,,
2020-03-02 07:00:00,133.656,135.956,132.4,134.5,6390.0,,142.05154053183568,1.777568947902921,0.8317948863045357,,
2020-03-02 07:30:00,134.97,136.36,134.6,135.754,22535.0,,141.92683675892803,1.8835998575534063,1.0421558805543099,,
2020-03-02 08:00:00,135.654,140.46,132.4,138.572,43800.0,,141.86040434786014,1.7204092613245336,1.1778065567083547,,
2020-03-02 08:30:00,138.56,140.4,133.598,139.60402,13160.0,,141.81572346968468,1.490621195773997,1.2403694845214832,,
2020-03-02 09:00:00,139.804,142.34,139.602,142.29,96135.0,,141.82511508414638,1.0793344641230078,1.2081624804417883,,
2020-03-02 09:30:00,142.216,144.8,138.42,141.088,191910.0,,141.81051874584645,0.8406872018423428,1.1346674247218993,,
2020-03-02 10:00:00,141.142,141.554,137.334,138.54,255180.0,,141.74575599840395,0.8473916293792456,1.0772122656533687,,
2020-03-02 10:30:00,138.706,141.4,137.416,140.17696,284895.0,,141.71469073110882,0.712403797627502,1.0042505720481953,,
2020-03-02 11:00:00,140.096,143.266,139.6,142.522,153850.0,57.04073871370349,141.73067705326508,0.4114568206410638,0.8856918217667691,,
2020-03-02 11:30:00,142.5,145.4,142.044,144.876,397305.0,62.7078863079186,141.7929606759727,-0.016800290338522927,0.7051933993457108,76.95503744745456,
2020-03-02 12:00:00,144.91792,145.8978,143.46002,144.9206,274720.0,62.80799467964623,141.85489412793365,-0.3556957443500437,0.49301557060656,90.11952156869579,
2020-03-02 12:30:00,144.954,147.75,144.70606,147.3,177655.0,67.77766608152064,141.96271800658843,-0.8069682995516416,0.2330187965749197,95.26597878560595,87.44684593391877
